CNPJ_FUNDO	DENOM_SOCIAL	TP_FUNDO	DT_COMPTC	VL_TOTAL	VL_QUOTA	VL_PATRIM_LIQ	NR_COTST
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-01	101657785621.67	47.748135983	101656811554.32	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-02	101707573469.74	47.770326191	101706549987.25	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-05	101759786826.8	47.792526888	101758713909.44	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-06	101807971637.06	47.814738107	101807653508.54	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-07	102131185338.7	47.836959593	102130817735.19	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-08	102178709381.68	47.859196102	102178292174.93	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-09	102114003921.47	47.828865529	102113537092.65	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-12	102154918324.52	47.848006158	102154401899.31	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-13	102195849349.83	47.867154565	102195283312.03	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-14	102236683072.89	47.886311302	102236182509.15	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-15	102280020288.15	47.90547524	102279470079.37	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-16	102326432083.75	47.927190253	102325832212.73	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-19	102372865132.38	47.948915215	102372215587.05	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-20	101865615420.39	47.97065011	101864916169.7	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-21	101918456912.76	47.992380903	101917708164.35	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-22	102025379930.75	48.014121818	102024581663.66	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-23	102071650925.23	48.035874238	102070803097.06	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-26	102079988402.82	48.039774633	102079090995.21	1
00.822.055/0001-87	BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO	FI	2022-12-27	102134342238.48	48.058986597	102133395248.16	1
